id,Code,Industry,Time,Net income,EPS,PRICE,Audit,Opion,Auditdate,Currentassets,Longassets,Totalassets,Liability,Currentliability,Longliability,Equity,Revenues,EV,Cash,Cash1,shortinvestment,Receilvables,Inventory,depreclation,Bookvalue
1,AAA,SX,2002,309193823134,757,9450,EY,CNTP,29-03-2024,5.68158E+12,5.90187E+12,1.15834E+13,5.61957E+12,3.73704E+12,1.88253E+12,5.96387E+12,1.26282E+13,3.61249E+12,1.07961E+12,1.20489E+12,6.87E+11,7.8339E+11,82297269278,"3,634,111,728,928",15601
2,AAM,SX,1979,703150885,40,9330,A&C,CNTP,22-02-2024,1.73749E+11,39108508899,2.12857E+11,10221544787,9148047007,1073497780,2.02636E+11,1.39259E+11,97509528060,5000039920,13844480998,12105203320,1.27268E+11,,"74,620,543,414",19389
3,AAT,SX,1995,17137592925,242,4900,,,,4.6881E+11,5.84346E+11,1.05316E+12,3.04536E+11,1.60945E+11,1.43591E+11,7.4862E+11,5.99597E+11,3.47014E+11,20000000000,3.98681E+11,54404093753,29579551608,31444164742,"537,407,880,714",10571
4,ABR,CN,2012,30982405215,1549,13750,Vietvalues,CNTP,25-03-2024,1.74259E+11,2.09823E+11,3.84082E+11,67943209116,50640776335,17302432781,3.16138E+11,53676044563,2.75E+11,1.29694E+11,39640096445,35632461126,,2283354644,"271,631,997,486",15807
5,ABS,SX,2004,8287009671,98,5790,AASCN,CNTPGT,29-03-2024,1.12166E+12,4.57548E+11,1.57921E+12,6.65242E+11,6.64305E+11,937500000,9.13963E+11,1.02522E+12,4.632E+11,1046000,1.11569E+12,9.10329E+11,3791702872,3.57025E+11,"1,054,278,410,762",11425
6,ABT,SX,1977,63871593981,4900,35000,EY,CNTP,25-03-2024,3.37588E+11,3.13797E+11,6.51384E+11,1.60565E+11,1.57455E+11,3109611000,4.90819E+11,5.32793E+11,4.12204E+11,1.45434E+11,88063011151,41007804301,1.36817E+11,,"491,220,937,216",41675
7,ACC,SX,2008,70154709497,662,12350,AnViet,CNTP,28-03-2024,1.75218E+12,5.99863E+11,2.35204E+12,1.067E+12,8.84553E+11,1.82449E+11,1.28504E+12,6.5159E+11,1.29675E+12,,6.97596E+11,4.48776E+11,1.00651E+12,1E+11,"2,047,238,196,628",12238
8,ACG,SX,2006,436716800582,2896,37600,PWC,CNTP,28-03-2024,4.1315E+12,1.39058E+12,5.52208E+12,1.34853E+12,1.33351E+12,15020821910,4.17356E+12,3.77872E+12,5.66963E+12,1.8345E+12,1.07872E+12,7.23795E+11,1.17052E+12,1.64948E+11,"6,309,358,011,287",27678
9,ACL,SX,2003,9852743462,196,11850,A&C,CNTP,25-03-2024,1.48211E+12,2.67075E+11,1.74918E+12,9.50038E+11,9.50038E+11,,7.99142E+11,1.11777E+12,5.94384E+11,,2.21041E+11,2.27929E+11,1.09306E+12,,"1,326,283,425,302",15932
10,ADG,DV,2008,22242445322,939,21500,CPA VIETNAM,CNTPGT,28-03-2024,2.645E+11,1.85394E+11,4.49894E+11,1.03725E+11,1.00785E+11,2940129836,3.46169E+11,4.11871E+11,4.59681E+11,1.5879E+11,70087089711,59225394305,2009453522,5299769291,"473,496,842,799",16191
11,ADP,SX,1970,58934029150,2558,19000,AASCS,CNTP,18-03-2024,3.38669E+11,42659482116,3.81329E+11,94138398232,94138398232,,2.8719E+11,5.19138E+11,4.37757E+11,1.3E+11,65341854280,63536051725,1.24185E+11,,"419,243,238,745",12465
12,ADS,SX,2006,74990043518,1120,13200,UHY,CNTP,27-03-2024,1.94539E+12,5.58405E+11,2.50379E+12,1.58554E+12,1.47293E+12,1.1261E+11,9.18251E+11,1.64185E+12,7.7081E+11,3.8045E+11,8.81034E+11,2.1068E+11,5.18207E+11,,"1,511,400,011,763",15725
13,AGG,XD,2007,460384055847,1402,26500,EY,CNTP,29-03-2024,8.3024E+12,9.91E+11,9.2934E+12,6.41728E+12,5.2847E+12,1.13258E+12,2.87612E+12,3.89105E+12,3.31564E+12,54530326729,5.19493E+12,4.36016E+11,2.01448E+12,7.30621E+11,"3,944,351,019,626",22987
14,AGM,SX,1976,-220865607056,-11809,6280,SV,CNNT,25-03-2024,3.44928E+11,8.92151E+11,1.23708E+12,1.21525E+12,1.18233E+12,32920526773,21826579198,7.88772E+11,1.14296E+11,8828400000,2.82117E+11,2.14967E+11,25086652060,2.23259E+11,"1,093,546,769,173",1199
15,ANV,SX,1993,39191645110,293,31100,A&C,CNTP,29-03-2024,2.9506E+12,2.16207E+12,5.11267E+12,2.2648E+12,2.10311E+12,1.6169E+11,2.84787E+12,4.46179E+12,4.14028E+12,71923630137,3.69116E+11,3.58878E+11,2.36366E+12,32632443257,"5,842,579,157,682",21392
16,APH,SX,2017,219282878375,140,7680,EY,CNTP,29-03-2024,6.46114E+12,5.91133E+12,1.23725E+13,6.64505E+12,4.66166E+12,1.98339E+12,5.72743E+12,1.45303E+13,1.87303E+12,1.2798E+12,1.4429E+12,9.1994E+11,1.01716E+12,20584816813,"3,184,617,758,302",23484
17,ASG,VT,2010,27024912994,53,21450,AASC,CNTPGT,28-03-2024,1.73485E+12,1.31526E+12,3.05011E+12,1.19971E+12,6.685E+11,5.31205E+11,1.85041E+12,1.92032E+12,1.62278E+12,9.82672E+11,5.2938E+11,3.56815E+11,32818259686,42815505501,"2,193,992,262,632",24459
